Step_ID,Service_ID,Step_No,Step_Name,Actor,Office,Action,System
WC009,S011,9,Consumer Activation,KWA System,KWA Portal,Generate consumer ID and activate service,KWA Consumer System
FS001,S012,1,Application Submission,Food Business Operator,FSSAI Portal,Submit license application,FoSCoS System
FS002,S012,2,Document Verification,Food Safety Officer,District Office,Verify documents,FoSCoS System
FS003,S012,3,Inspection Scheduling,Designated Officer,District Office,Schedule inspection,Inspection System
FS004,S012,4,Facility Inspection,Food Safety Officer,Business Premises,Inspect hygiene & compliance,Inspection System
FS005,S012,5,Report Preparation,Food Safety Officer,Office,Prepare inspection report,FoSCoS System
FS006,S012,6,License Approval,Designated Officer,District Office,Approve license,FoSCoS System
FS007,S012,7,Fee Payment,Applicant,Portal,Pay license fee,Payment System
FS008,S012,8,License Issuance,FSSAI System,Portal,Issue digital license,FoSCoS System
SE001,S013,1,Application Submission,Employer,Labour Portal,Submit registration application,Labour Registration System
SE002,S013,2,Document Verification,Labour Inspector,Labour Office,Verify documents,Labour System
SE003,S013,3,Inspection Scheduling,Inspector,Labour Office,Schedule workplace inspection,Inspection System
SE004,S013,4,Workplace Inspection,Labour Inspector,Establishment Site,Verify compliance,Inspection System
SE005,S013,5,Report Preparation,Inspector,Office,Prepare inspection report,Labour System
SE006,S013,6,Registration Approval,Assistant Labour Officer,Labour Office,Approve registration,Labour System
SE007,S013,7,Fee Payment,Employer,Portal,Pay registration fee,Payment System
SE008,S013,8,Certificate Issuance,Labour Department System,Portal,Issue registration certificate,Labour System
